step,time,sensor_raw_FL,sensor_raw_FR,raw_frontal,front_dist,side_danger,filtered_frontal,kalman_estimate,raw_left,raw_right,sensor_raw_L,sensor_raw_R,encoder_L,encoder_R,delta_s,kalman_gain,action
132,4.224,68.180432,69.811594,0.3,0.298635,0.3,0.294779,0.298635,0.3,0.3,70.932311,69.197585,5.14332,4.91724,0.000837,0.35857,FORWARD
133,4.256,66.696729,70.507659,0.3,0.298629,0.3,0.296346,0.298629,0.3,0.3,71.640982,68.970586,5.181,4.95492,0.000772,0.358386,FORWARD
134,4.288,75.631238,68.180579,0.067712,0.067712,0.3,0.227756,0.067712,0.3,0.3,66.527957,63.601894,5.21868,4.9926,0.000772,0.358311,FORWARD
135,4.32,69.442933,66.086021,0.3,0.3,0.3,0.249429,0.3,0.3,0.3,69.947884,65.962228,5.25636,5.03028,0.000772,0.545455,FORWARD
136,4.352,66.799467,64.82911,0.3,0.29962,0.3,0.2646,0.29962,0.3,0.3,68.073926,64.243936,5.29404,5.07424,0.000837,0.545455,FORWARD
137,4.384,68.496756,66.723916,0.3,0.29934,0.3,0.27522,0.29934,0.3,0.3,71.958555,70.439807,5.33172,5.11192,0.000772,0.427083,FORWARD
138,4.416,70.026942,65.134734,0.3,0.299119,0.3,0.282654,0.299119,0.3,0.3,70.631403,67.955826,5.3694,5.1496,0.000772,0.385403,FORWARD
139,4.448,69.601128,63.345766,0.3,0.298957,0.3,0.287858,0.298957,0.3,0.3,62.423932,67.994234,5.40708,5.18728,0.000772,0.369246,FORWARD
140,4.48,74.717739,61.295695,0.06796,0.06796,0.3,0.221889,0.06796,0.3,0.3,63.583509,65.788814,5.44476,5.22496,0.000772,0.362751,FORWARD
141,4.512,66.089351,60.362915,0.3,0.3,0.3,0.245322,0.3,0.3,0.3,65.433973,68.277756,5.48872,5.26264,0.000837,0.545455,FORWARD
142,4.544,69.104103,68.733133,0.3,0.299649,0.3,0.261725,0.299649,0.3,0.3,66.468989,70.677472,5.5264,5.30032,0.000772,0.545455,FORWARD
143,4.576,67.476093,68.360679,0.3,0.299356,0.068528,0.273208,0.299356,0.068528,0.3,72.621076,66.307676,5.56408,5.338,0.000772,0.427083,FORWARD
144,4.608,71.53001,65.691989,0.3,0.29909,0.3,0.281245,0.29909,0.3,0.3,58.091962,70.656048,5.63944,5.34428,0.000837,0.385403,FORWARD
145,4.64,67.106413,68.72647,0.3,0.298939,0.068331,0.286872,0.298939,0.3,0.068331,71.497104,73.346895,5.67712,5.38196,0.000772,0.369246,FORWARD
146,4.672,62.581231,62.845613,0.3,0.298832,0.3,0.29081,0.298832,0.3,0.3,61.83662,68.474279,5.67712,5.45732,0.000772,0.362751,FORWARD
147,4.704,64.541008,68.561326,0.3,0.298758,0.3,0.293567,0.298758,0.3,0.3,65.859479,58.560043,5.7148,5.495,0.000772,0.360103,FORWARD
148,4.736,71.31186,73.114624,0.068394,0.068394,0.3,0.226015,0.068394,0.3,0.3,64.594864,67.155259,5.75248,5.53268,0.000772,0.359017,FORWARD
149,4.768,67.35062,65.261292,0.3,0.3,0.3,0.248211,0.3,0.3,0.3,63.226679,65.910266,5.79644,5.57036,0.000837,0.545455,FORWARD
150,4.8,68.438757,71.246673,0.3,0.299649,0.068523,0.263748,0.299649,0.068523,0.3,72.638713,68.138273,5.83412,5.60804,0.000772,0.545455,FORWARD
151,4.832,68.199483,64.810134,0.3,0.299356,0.3,0.274623,0.299356,0.3,0.3,64.493241,70.977876,5.90948,5.60804,0.000772,0.427083,FORWARD
152,4.864,64.710681,68.093933,0.3,0.29909,0.3,0.282236,0.29909,0.3,0.3,61.215936,69.905724,5.94716,5.652,0.000837,0.385403,FORWARD
153,4.896,66.693857,69.039153,0.3,0.298939,0.3,0.287565,0.298939,0.3,0.3,63.052291,64.438099,5.98484,5.68968,0.000772,0.369246,FORWARD
154,4.928,65.3088,68.326829,0.3,0.298832,0.3,0.291296,0.298832,0.3,0.3,66.780226,67.515518,6.02252,5.72736,0.000772,0.362751,FORWARD
155,4.96,67.157196,67.771687,0.3,0.298758,0.3,0.293907,0.298758,0.3,0.3,69.20897,64.191353,6.0602,5.76504,0.000772,0.360103,FORWARD
156,4.992,66.16317,65.761968,0.3,0.298709,0.3,0.295735,0.298709,0.3,0.3,67.623147,64.12852,6.09788,5.80272,0.000772,0.359017,FORWARD
157,5.024,64.742473,65.482492,0.3,0.298676,0.3,0.297014,0.298676,0.3,0.3,64.424779,67.128879,6.13556,5.8404,0.000772,0.35857,FORWARD
158,5.056,70.790797,66.086526,0.3,0.298655,0.3,0.29791,0.298655,0.3,0.3,66.416591,70.921131,6.17324,5.87808,0.000772,0.358386,FORWARD
159,5.088,69.149531,70.59869,0.3,0.2986,0.3,0.298537,0.2986,0.3,0.3,66.888773,71.693282,6.2172,5.91576,0.000837,0.358311,FORWARD
160,5.12,65.601372,67.102271,0.3,0.298606,0.3,0.298976,0.298606,0.3,0.3,62.530946,72.152485,6.25488,5.95344,0.000772,0.358279,FORWARD
161,5.152,64.87302,64.230161,0.3,0.298568,0.3,0.299283,0.298568,0.3,0.3,67.529097,60.944838,6.29256,5.9974,0.000837,0.358267,FORWARD
